iter	Passed	Remaining
0	174	173964
1	211	105450
2	248	82646
3	285	71156
4	298	59311
5	339	56161
6	376	53366
7	414	51347
8	453	49895
9	493	48860
10	533	48011
11	576	47484
12	616	46844
13	659	46421
14	698	45892
15	739	45490
16	780	45141
17	820	44758
18	858	44344
19	899	44073
20	939	43781
21	977	43474
22	1003	42607
23	1043	42442
24	1083	42243
25	1120	41980
26	1159	41788
27	1200	41657
28	1239	41490
29	1278	41340
30	1317	41192
31	1355	40991
32	1393	40844
33	1430	40638
34	1467	40469
35	1506	40331
36	1545	40217
37	1585	40139
38	1625	40047
39	1664	39939
40	1703	39834
41	1740	39705
42	1781	39639
43	1819	39529
44	1858	39431
45	1897	39344
46	1934	39217
47	1969	39065
48	2007	38966
49	2046	38877
50	2082	38756
51	2124	38722
52	2161	38612
53	2197	38497
54	2233	38376
55	2270	38269
56	2307	38171
57	2346	38104
58	2385	38050
59	2425	37995
60	2462	37906
61	2501	37843
62	2540	37786
63	2579	37724
64	2617	37649
65	2653	37544
66	2690	37470
67	2728	37399
68	2765	37311
69	2802	37227
70	2839	37157
71	2877	37083
72	2914	37013
73	2952	36948
74	2990	36878
75	3027	36809
76	3065	36742
77	3102	36668
78	3138	36586
79	3176	36533
80	3218	36514
81	3262	36525
82	3304	36506
83	3347	36502
84	3388	36480
85	3442	36587
86	3514	36876
87	3555	36850
88	3593	36787
89	3631	36717
90	3668	36643
91	3705	36574
92	3742	36499
93	3779	36429
94	3815	36349
95	3853	36284
96	3890	36217
97	3927	36151
98	3965	36090
99	4005	36048
100	4044	35996
101	4082	35944
102	4120	35888
103	4160	35843
104	4198	35789
105	4237	35741
106	4277	35697
107	4318	35671
108	4362	35661
109	4401	35613
110	4442	35583
111	4483	35551
112	4523	35503
113	4565	35485
114	4605	35438
115	4643	35383
116	4683	35342
117	4725	35319
118	4766	35284
119	4805	35241
120	4843	35187
121	4882	35134
122	4920	35082
123	4958	35029
124	4999	34993
125	5039	34959
126	5078	34909
127	5121	34889
128	5164	34870
129	5206	34845
130	5248	34813
131	5288	34777
132	5328	34735
